PostalCode,Longitude,Latitude,State2,State,City,County,Region,Area,TimeZone
22108,-77.1828,38.9327,VA,Virginia,MC LEAN,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22109,-77.1828,38.9327,VA,Virginia,MC LEAN,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22118,-77.2272,38.8745,VA,Virginia,MERRIFIELD,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22119,-77.2272,38.8745,VA,Virginia,MERRIFIELD,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22135,-77.2938,38.5225,VA,Virginia,QUANTICO,STAFFORD,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22156,-77.1878,38.7893,VA,Virginia,SPRINGFIELD,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22158,-77.1878,38.7893,VA,Virginia,SPRINGFIELD,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22159,-77.1878,38.7893,VA,Virginia,SPRINGFIELD,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22160,-77.1878,38.7893,VA,Virginia,SPRINGFIELD,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22161,-77.1878,38.7893,VA,Virginia,SPRINGFIELD,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22185,-77.2656,38.9014,VA,Virginia,VIENNA,FAIRFAX,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22212,-77.1035,38.8675,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22217,-77.1039,38.869,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22225,-77.0576,38.8696,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22226,-77.1117,38.8797,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22227,-77.1118,38.8801,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22230,-77.1154,38.8803,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22240,-77.1154,38.8803,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22241,-77.1154,38.8803,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22242,-77.1154,38.8803,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22243,-77.1154,38.8803,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22244,-77.1154,38.8803,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22245,-77.1154,38.8803,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22246,-77.0952,38.8862,VA,Virginia,ARLINGTON,ARLINGTON,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22333,-77.0475,38.8049,VA,Virginia,ALEXANDRIA,ALEXANDRIA CITY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22334,-77.0475,38.8049,VA,Virginia,ALEXANDRIA,ALEXANDRIA CITY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22350,-77.049179,38.799584,VA,Virginia,ALEXANDRIA,ALEXANDRIA CITY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22412,-77.4984,38.2834,VA,Virginia,FREDERICKSBURG,STAFFORD,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
22428,-77.3467,38.0496,VA,Virginia,BOWLING GREEN,CAROLINE,South,Richmond VA,5
22807,-78.866333,38.43324,VA,Virginia,HARRISONBURG,HARRISONBURG CITY,South,Harrisonburg VA,5
22907,-78.4769,38.0295,VA,Virginia,CHARLOTTESVILLE,CHARLOTTESVILLE CITY,South,Charlottesville VA,5
22908,-78.4769,38.0295,VA,Virginia,CHARLOTTESVILLE,CHARLOTTESVILLE CITY,South,Charlottesville VA,5
22909,-78.4726,38.0446,VA,Virginia,CHARLOTTESVILLE,ALBEMARLE,South,Charlottesville VA,5
22910,-78.4769,38.0295,VA,Virginia,CHARLOTTESVILLE,CHARLOTTESVILLE CITY,South,Charlottesville VA,5
23173,-77.542178,37.575548,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23186,-76.725121,37.269465,VA,Virginia,WILLIAMSBURG,WILLIAMSBURG CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23249,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23269,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23273,-77.4609,37.5537,VA,Virginia,HENRICO,RICHMOND CITY,South,Richmond VA,5
23274,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23276,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23278,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23279,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23282,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23286,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23288,-77.5568,37.5944,VA,Virginia,HENRICO,HENRICO,South,Richmond VA,5
23289,-77.4487,37.5436,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23290,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23291,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23292,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23293,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23295,-77.4609,37.5537,VA,Virginia,RICHMOND,RICHMOND CITY,South,Richmond VA,5
23297,-77.4743,37.4528,VA,Virginia,RICHMOND,CHESTERFIELD,South,Richmond VA,5
23326,-76.2753,36.8187,VA,Virginia,CHESAPEAKE,CHESAPEAKE CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23463,-76.192694,36.798551,VA,Virginia,VIRGINIA BEACH,VIRGINIA BEACH CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23465,-75.9783,36.8526,VA,Virginia,VIRGINIA BEACH,VIRGINIA BEACH CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23479,-75.9783,36.8526,VA,Virginia,VIRGINIA BEACH,VIRGINIA BEACH CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23515,-76.2859,36.8468,VA,Virginia,NORFOLK,NORFOLK CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23529,-76.305408,36.888004,VA,Virginia,NORFOLK,NORFOLK CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23551,-76.2859,36.8468,VA,Virginia,NORFOLK,NORFOLK CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23628,-76.4284,36.9786,VA,Virginia,NEWPORT NEWS,NEWPORT NEWS CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23630,-76.4284,36.9786,VA,Virginia,HAMPTON,HAMPTON CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23667,-76.3561,37.019,VA,Virginia,HAMPTON,HAMPTON CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23668,-76.332127,37.020366,VA,Virginia,HAMPTON,HAMPTON CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23681,-76.3403,37.0301,VA,Virginia,HAMPTON,HAMPTON CITY,South,Virginia Beach-Norfolk-Newport News VA-NC,5
23806,-77.419735,37.238228,VA,Virginia,VIRGINIA STATE UNIVERSITY,PETERSBURG CITY,South,Richmond VA,5
23870,-77.4645,36.8086,VA,Virginia,JARRATT,GREENSVILLE,South,,5
23891,-77.1013,37.0394,VA,Virginia,WAVERLY,SUSSEX,South,Richmond VA,5
23909,-78.397849,37.300518,VA,Virginia,FARMVILLE,PRINCE EDWARD,South,,5
24040,-79.9418,37.2709,VA,Virginia,ROANOKE,ROANOKE CITY,South,Roanoke VA,5
24042,-79.9418,37.2709,VA,Virginia,ROANOKE,ROANOKE CITY,South,Roanoke VA,5
24043,-79.9418,37.2709,VA,Virginia,ROANOKE,ROANOKE CITY,South,Roanoke VA,5
24050,-79.9616,37.3334,VA,Virginia,ROANOKE,BOTETOURT,South,Roanoke VA,5
24061,-80.4149,37.2286,VA,Virginia,BLACKSBURG,MONTGOMERY,South,Blacksburg-Christiansburg-Radford VA,5
24155,-80.0553,37.2935,VA,Virginia,ROANOKE,SALEM,South,Roanoke VA,5
24157,-80.0553,37.2935,VA,Virginia,ROANOKE,SALEM,South,Roanoke VA,5
24205,0,0,VA,Virginia,BRISTOL,BRISTOL CITY,South,Kingsport-Bristol-Bristol TN-VA,5
24513,-79.1401,37.414,VA,Virginia,LYNCHBURG,LYNCHBURG CITY,South,Lynchburg VA,5
24514,-79.1427,37.4136,VA,Virginia,LYNCHBURG,LYNCHBURG CITY,South,Lynchburg VA,5
24515,-79.1427,37.4136,VA,Virginia,LYNCHBURG,LYNCHBURG CITY,South,Lynchburg VA,5
25185,-81.2335,38.2383,WV,West Virginia,MOUNT OLIVE,FAYETTE,South,Beckley WV,5
25317,-81.6329,38.3494,WV,West Virginia,CHARLESTON,KANAWHA,South,Charleston WV,5
25392,-81.6329,38.3494,WV,West Virginia,CHARLESTON,KANAWHA,South,Charleston WV,5
25396,-81.6329,38.3494,WV,West Virginia,CHARLESTON,KANAWHA,South,Charleston WV,5
25755,-82.427299,38.423483,WV,West Virginia,HUNTINGTON,CABELL,South,Huntington-Ashland WV-KY-OH,5
25888,0,0,WV,West Virginia,MOUNT HOPE,FAYETTE,South,Beckley WV,5
26106,-81.5617,39.2667,WV,West Virginia,PARKERSBURG,WOOD,South,Parkersburg-Vienna WV,5
